label, method, accuracy, time(microseconds)
t=car, none/dnn_1, 1.0, 140707
t=car, none/dnn_2, 1.0, 88652
t=car, none/dnn_3, 1.0, 106585
t=car, none/dnn_4, 1.0, 92878
t=car, none/dnn_5, 1.0, 87717
t=car, none/rf_50, 1.0, 54040
t=car, none/rf_100, 1.0, 65166
t=car, none/rf_150, 1.0, 94668
t=car, none/rf_200, 1.0, 113455
t=car, none/rf_250, 1.0, 154662
t=car, none/rf_300, 1.0, 170238
t=car, pca/dnn_1, 1.0, 19217
t=car, pca/dnn_2, 1.0, 6478
t=car, pca/dnn_3, 1.0, 7291
t=car, pca/dnn_4, 1.0, 6852
t=car, pca/dnn_5, 1.0, 7546
t=car, pca/rf_50, 1.0, 32631
t=car, pca/rf_100, 1.0, 54679
t=car, pca/rf_150, 1.0, 81464
t=car, pca/rf_200, 1.0, 104737
t=car, pca/rf_250, 1.0, 151757
t=car, pca/rf_300, 1.0, 164581

t=van, none/dnn_1, 0.5, 94067
t=van, none/dnn_2, 0.5, 85747
t=van, none/dnn_3, 0.5, 100229
t=van, none/dnn_4, 0.5, 99297
t=van, none/dnn_5, 0.5, 91213
t=van, none/rf_50, 0.8846153846153846, 239280
t=van, none/rf_100, 0.8717948717948718, 461870
t=van, none/rf_150, 0.8910256410256411, 653921
t=van, none/rf_200, 0.8717948717948718, 900710
t=van, none/rf_250, 0.8717948717948718, 140499
t=van, none/rf_300, 0.8717948717948718, 366332
t=van, pca/dnn_1, 0.6474358974358975, 8965
t=van, pca/dnn_2, 0.6346153846153846, 6298
t=van, pca/dnn_3, 0.6346153846153846, 6397
t=van, pca/dnn_4, 0.6346153846153846, 6730
t=van, pca/dnn_5, 0.6346153846153846, 7365
t=van, pca/rf_50, 0.782051282051282, 127988
t=van, pca/rf_100, 0.8205128205128205, 248903
t=van, pca/rf_150, 0.7948717948717948, 411608
t=van, pca/rf_200, 0.8076923076923077, 469789
t=van, pca/rf_250, 0.8141025641025641, 598521
t=van, pca/rf_300, 0.8333333333333334, 765637

t=bus, none/dnn_1, 0.9807692307692307, 96996
t=bus, none/dnn_2, 0.9807692307692307, 90500
t=bus, none/dnn_3, 0.9807692307692307, 97178
t=bus, none/dnn_4, 0.9807692307692307, 86059
t=bus, none/dnn_5, 0.9807692307692307, 89039
t=bus, none/rf_50, 0.9807692307692307, 224810
t=bus, none/rf_100, 0.9807692307692307, 418987
t=bus, none/rf_150, 0.9807692307692307, 649457
t=bus, none/rf_200, 0.9871794871794872, 871101
t=bus, none/rf_250, 0.9871794871794872, 99731
t=bus, none/rf_300, 0.9871794871794872, 269722
t=bus, pca/dnn_1, 0.6538461538461539, 7280
t=bus, pca/dnn_2, 0.9807692307692307, 6520
t=bus, pca/dnn_3, 0.9807692307692307, 6682
t=bus, pca/dnn_4, 0.9807692307692307, 6711
t=bus, pca/dnn_5, 0.9807692307692307, 7469
t=bus, pca/rf_50, 0.9807692307692307, 128296
t=bus, pca/rf_100, 0.9807692307692307, 260579
t=bus, pca/rf_150, 0.9807692307692307, 413287
t=bus, pca/rf_200, 0.9807692307692307, 481348
t=bus, pca/rf_250, 0.9807692307692307, 592185
t=bus, pca/rf_300, 0.9807692307692307, 801028

t=others, none/dnn_1, 0.8846153846153846, 90765
t=others, none/dnn_2, 0.8846153846153846, 152029
t=others, none/dnn_3, 0.8846153846153846, 117200
t=others, none/dnn_4, 0.8846153846153846, 113378
t=others, none/dnn_5, 0.8846153846153846, 122684
t=others, none/rf_50, 0.8910256410256411, 235960
t=others, none/rf_100, 0.8910256410256411, 436281
t=others, none/rf_150, 0.8910256410256411, 658507
t=others, none/rf_200, 0.8910256410256411, 903580
t=others, none/rf_250, 0.8910256410256411, 117754
t=others, none/rf_300, 0.8974358974358975, 307861
t=others, pca/dnn_1, 0.6282051282051282, 7051
t=others, pca/dnn_2, 0.8846153846153846, 6358
t=others, pca/dnn_3, 0.8846153846153846, 6652
t=others, pca/dnn_4, 0.8846153846153846, 10156
t=others, pca/dnn_5, 0.8846153846153846, 6594
t=others, pca/rf_50, 0.8846153846153846, 128128
t=others, pca/rf_100, 0.8846153846153846, 251018
t=others, pca/rf_150, 0.8846153846153846, 425308
t=others, pca/rf_200, 0.8846153846153846, 477017
t=others, pca/rf_250, 0.8846153846153846, 598185
t=others, pca/rf_300, 0.8846153846153846, 855426

c=red, none/dnn_1, 1.0, 276968
c=red, none/dnn_2, 1.0, 94184
c=red, none/dnn_3, 1.0, 86932
c=red, none/dnn_4, 1.0, 86520
c=red, none/dnn_5, 1.0, 94594
c=red, none/rf_50, 1.0, 35130
c=red, none/rf_100, 1.0, 58072
c=red, none/rf_150, 1.0, 89270
c=red, none/rf_200, 1.0, 114242
c=red, none/rf_250, 1.0, 130202
c=red, none/rf_300, 1.0, 167904
c=red, pca/dnn_1, 1.0, 7508
c=red, pca/dnn_2, 1.0, 6700
c=red, pca/dnn_3, 1.0, 6338
c=red, pca/dnn_4, 1.0, 6738
c=red, pca/dnn_5, 1.0, 6275
c=red, pca/rf_50, 1.0, 26449
c=red, pca/rf_100, 1.0, 51623
c=red, pca/rf_150, 1.0, 102975
c=red, pca/rf_200, 1.0, 101355
c=red, pca/rf_250, 1.0, 184424
c=red, pca/rf_300, 1.0, 296054

c=white, none/dnn_1, 0.8974358974358975, 107956
c=white, none/dnn_2, 0.8974358974358975, 88304
c=white, none/dnn_3, 0.8974358974358975, 85123
c=white, none/dnn_4, 0.8974358974358975, 86398
c=white, none/dnn_5, 0.8974358974358975, 88346
c=white, none/rf_50, 0.9038461538461539, 232667
c=white, none/rf_100, 0.9038461538461539, 454577
c=white, none/rf_150, 0.9038461538461539, 661240
c=white, none/rf_200, 0.9102564102564102, 895391
c=white, none/rf_250, 0.9102564102564102, 96953
c=white, none/rf_300, 0.9102564102564102, 328805
c=white, pca/dnn_1, 0.5897435897435898, 7827
c=white, pca/dnn_2, 0.8974358974358975, 6793
c=white, pca/dnn_3, 0.8974358974358975, 6802
c=white, pca/dnn_4, 0.8974358974358975, 9148
c=white, pca/dnn_5, 0.8974358974358975, 6773
c=white, pca/rf_50, 0.8974358974358975, 121513
c=white, pca/rf_100, 0.8974358974358975, 248415
c=white, pca/rf_150, 0.8974358974358975, 378560
c=white, pca/rf_200, 0.8974358974358975, 507010
c=white, pca/rf_250, 0.8974358974358975, 658901
c=white, pca/rf_300, 0.8974358974358975, 870848

c=black, none/dnn_1, 0.3141025641025641, 92272
c=black, none/dnn_2, 0.3141025641025641, 103128
c=black, none/dnn_3, 0.3141025641025641, 83465
c=black, none/dnn_4, 0.3141025641025641, 85640
c=black, none/dnn_5, 0.3141025641025641, 85757
c=black, none/rf_50, 0.7371794871794872, 231830
c=black, none/rf_100, 0.7435897435897436, 452886
c=black, none/rf_150, 0.75, 656571
c=black, none/rf_200, 0.75, 897963
c=black, none/rf_250, 0.75, 137788
c=black, none/rf_300, 0.75, 325017
c=black, pca/dnn_1, 0.5897435897435898, 6715
c=black, pca/dnn_2, 0.3525641025641026, 6349
c=black, pca/dnn_3, 0.3525641025641026, 6357
c=black, pca/dnn_4, 0.3525641025641026, 6861
c=black, pca/dnn_5, 0.3525641025641026, 6497
c=black, pca/rf_50, 0.6858974358974359, 121521
c=black, pca/rf_100, 0.6858974358974359, 251246
c=black, pca/rf_150, 0.6858974358974359, 416903
c=black, pca/rf_200, 0.6858974358974359, 506088
c=black, pca/rf_250, 0.6858974358974359, 748600
c=black, pca/rf_300, 0.6858974358974359, 939656

c=silver, none/dnn_1, 0.7628205128205128, 89083
c=silver, none/dnn_2, 0.7628205128205128, 86907
c=silver, none/dnn_3, 0.7628205128205128, 86761
c=silver, none/dnn_4, 0.7628205128205128, 86658
c=silver, none/dnn_5, 0.7628205128205128, 86358
c=silver, none/rf_50, 0.7692307692307693, 212712
c=silver, none/rf_100, 0.7692307692307693, 455183
c=silver, none/rf_150, 0.7692307692307693, 679960
c=silver, none/rf_200, 0.7692307692307693, 886452
c=silver, none/rf_250, 0.7692307692307693, 52821
c=silver, none/rf_300, 0.7692307692307693, 302061
c=silver, pca/dnn_1, 0.5192307692307693, 9131
c=silver, pca/dnn_2, 0.5064102564102564, 6428
c=silver, pca/dnn_3, 0.48717948717948717, 7395
